Category,City,Country,CustomerName,OrderDate,Region,Segment,ShipDate,ShipMode,ShipStatus,State,SubCategory,DaystoShipActual,DaystoShipScheduled,Discount,NumberofRecords,Profit,ProfitperOrder,ProfitRatio,Quantity,Sales,SalesForecast,SalesperCustomer,saleswodic
Office Supplies,Fremont,United States,Ken Black,12/9/2016,Central,Corporate,12/13/2016,Standard Class,Shipped Early,Nebraska,Appliances,4,6,0,1,5,5,0.08,7,60,90,60.34,60
Furniture,Philadelphia,United States,Sandra Flanagan,7/16/2017,East,Consumer,7/18/2017,Second Class,Shipped Early,Pennsylvania,Chairs,2,3,0.3,1,23,23,0.33,2,71,107,71.37,101
Furniture,Orem,United States,Emily Burns,9/25/2015,West,Consumer,9/30/2015,Standard Class,Shipped Early,Utah,Tables,5,6,0.2,1,50,50,0.06,3,836,1564,1044.63,1045
Office Supplies,Los Angeles,United States,Eric Hoffmann,1/16/2016,West,Consumer,1/20/2016,Second Class,Shipped Late,California,Binders,4,3,0.2,1,3,3,0.26,2,12,17,11.65,15
Technology,Los Angeles,United States,Eric Hoffmann,1/16/2016,West,Consumer,1/20/2016,Second Class,Shipped Late,California,Accessories,4,3,0,1,-1,-1,-0.01,3,91,136,90.57,91
Furniture,Philadelphia,United States,Tracy Blumstein,9/17/2015,East,Consumer,9/21/2015,Standard Class,Shipped Early,Pennsylvania,Bookcases,4,6,0.15,1,3040,3040,0.58,7,5241,4618,3083.43,6166
Office Supplies,Philadelphia,United States,Tracy Blumstein,9/17/2015,East,Consumer,9/21/2015,Standard Class,Shipped Early,Pennsylvania,Binders,4,6,0.7,1,4,4,0.36,2,10,14,9.62,33
Furniture,Philadelphia,United States,Tracy Blumstein,9/17/2015,East,Consumer,9/21/2015,Standard Class,Shipped Early,Pennsylvania,Furnishings,4,6,0.2,1,16,16,0.13,3,124,186,124.2,155
Office Supplies,Philadelphia,United States,Tracy Blumstein,9/17/2015,East,Consumer,9/21/2015,Standard Class,Shipped Early,Pennsylvania,Envelopes,4,6,0.2,1,-2,-2,-0.54,2,3,5,3.26,4
Office Supplies,Philadelphia,United States,Tracy Blumstein,9/17/2015,East,Consumer,9/21/2015,Standard Class,Shipped Early,Pennsylvania,Art,4,6,0.2,1,-63,-63,-0.73,6,86,129,86.3,108
Office Supplies,Philadelphia,United States,Tracy Blumstein,9/17/2015,East,Consumer,9/21/2015,Standard Class,Shipped Early,Pennsylvania,Binders,4,6,0.7,1,1,1,0.13,6,7,10,6.86,23
Office Supplies,Philadelphia,United States,Tracy Blumstein,9/17/2015,East,Consumer,9/21/2015,Standard Class,Shipped Early,Pennsylvania,Art,4,6,0.2,1,5,5,0.34,2,16,24,15.76,20
Office Supplies,Houston,United States,Matt Abelman,10/19/2017,Central,Home Office,10/23/2017,Second Class,Shipped Late,Texas,Paper,4,3,0.2,1,3,3,0.11,3,29,44,29.47,36
Technology,Richardson,United States,Gene Hale,12/8/2016,Central,Corporate,12/10/2016,First Class,Shipped Late,Texas,Phones,2,1,0.2,1,-911,-911,-0.83,7,1098,1644,1097.54,1373
Furniture,Richardson,United States,Gene Hale,12/8/2016,Central,Corporate,12/10/2016,First Class,Shipped Late,Texas,Furnishings,2,1,0.6,1,44,44,0.23,5,191,286,190.92,478
Office Supplies,Houston,United States,Steve Nguyen,12/27/2015,Central,Home Office,12/31/2015,Standard Class,Shipped Early,Texas,Envelopes,4,6,0.2,1,38,38,0.34,9,113,170,113.33,141
Furniture,Houston,United States,Steve Nguyen,12/27/2015,Central,Home Office,12/31/2015,Standard Class,Shipped Early,Texas,Bookcases,4,6,0.15,1,186,186,0.28,3,665,797,532.4,782
Furniture,Houston,United States,Steve Nguyen,12/27/2015,Central,Home Office,12/31/2015,Standard Class,Shipped Early,Texas,Chairs,4,6,0.3,1,-165,-165,-0.78,3,212,318,212.06,303
Technology,Houston,United States,Steve Nguyen,12/27/2015,Central,Home Office,12/31/2015,Standard Class,Shipped Early,Texas,Phones,4,6,0.2,1,115,115,0.31,4,371,556,371.17,464
Technology,Naperville,United States,Linda Cazamias,9/10/2017,Central,Corporate,9/15/2017,Standard Class,Shipped Early,Illinois,Phones,5,6,0.2,1,-13,-13,-0.09,4,147,220,147.17,184
Office Supplies,Los Angeles,United States,Ruben Ausman,7/17/2016,West,Corporate,7/22/2016,Standard Class,Shipped Early,California,Storage,5,6,0,1,-5,-5,-0.07,2,78,117,77.88,78
Office Supplies,Melbourne,United States,Erin Smith,9/19/2017,South,Corporate,9/23/2017,Standard Class,Shipped Early,Florida,Storage,4,6,0.2,1,11,11,0.11,2,96,143,95.62,120
Technology,Eagan,United States,Odella Nelson,3/11/2016,Central,Corporate,3/13/2016,First Class,Shipped Late,Minnesota,Accessories,2,1,0,1,5,5,0.11,2,46,69,45.98,46
Office Supplies,Eagan,United States,Odella Nelson,3/11/2016,Central,Corporate,3/13/2016,First Class,Shipped Late,Minnesota,Binders,2,1,0,1,1,1,0.05,2,17,26,17.46,17
Office Supplies,Westland,United States,Patrick O'Donnell,10/20/2014,Central,Consumer,10/25/2014,Second Class,Shipped Late,Michigan,Storage,5,3,0,1,21,21,0.1,4,212,317,211.96,212
Technology,Dover,United States,Lena Hernandez,6/20/2016,East,Consumer,6/25/2016,Standard Class,Shipped Early,Delaware,Accessories,5,6,0,1,19,19,0.43,3,45,67,45,45
Technology,Dover,United States,Lena Hernandez,6/20/2016,East,Consumer,6/25/2016,Standard Class,Shipped Early,Delaware,Phones,5,6,0,1,10,10,0.47,2,22,33,21.8,22
Office Supplies,New Albany,United States,Darren Powers,4/18/2015,Central,Consumer,4/22/2015,Standard Class,Shipped Early,Indiana,Binders,4,6,0,1,2,2,0.04,6,38,57,38.22,38
Office Supplies,New Albany,United States,Darren Powers,4/18/2015,Central,Consumer,4/22/2015,Standard Class,Shipped Early,Indiana,Labels,4,6,0,1,8,8,0.11,6,75,113,75.18,75
Furniture,New Albany,United States,Darren Powers,4/18/2015,Central,Consumer,4/22/2015,Standard Class,Shipped Early,Indiana,Furnishings,4,6,0,1,2,2,0.28,2,6,9,6.16,6
Furniture,New Albany,United States,Darren Powers,4/18/2015,Central,Consumer,4/22/2015,Standard Class,Shipped Early,Indiana,Chairs,4,6,0,1,42,42,0.47,1,90,135,89.99,90
Office Supplies,New York City,United States,Janet Molinari,12/11/2016,East,Corporate,12/17/2016,Standard Class,Shipped On Time,New York,Fasteners,6,6,0,1,7,7,0.47,7,15,23,15.26,15
Technology,New York City,United States,Janet Molinari,12/11/2016,East,Corporate,12/17/2016,Standard Class,Shipped On Time,New York,Phones,6,6,0,1,494,494,0.48,5,1030,1542,1029.95,1030
Office Supplies,Troy,United States,Ted Butterfield,6/17/2016,East,Consumer,6/18/2016,First Class,Shipped On Time,New York,Storage,1,1,0,1,40,40,0.19,6,209,312,208.56,209
Office Supplies,Troy,United States,Ted Butterfield,6/17/2016,East,Consumer,6/18/2016,First Class,Shipped On Time,New York,Paper,1,1,0,1,13,13,0.41,5,32,49,32.4,32
Furniture,Troy,United States,Ted Butterfield,6/17/2016,East,Consumer,6/18/2016,First Class,Shipped On Time,New York,Chairs,1,1,0.1,1,93,93,0.29,5,319,478,319.41,354
Office Supplies,Troy,United States,Ted Butterfield,6/17/2016,East,Consumer,6/18/2016,First Class,Shipped On Time,New York,Paper,1,1,0,1,4,4,0.25,2,15,22,14.56,15
Technology,Troy,United States,Ted Butterfield,6/17/2016,East,Consumer,6/18/2016,First Class,Shipped On Time,New York,Accessories,1,1,0,1,14,14,0.48,2,30,45,30,30
Office Supplies,Troy,United States,Ted Butterfield,6/17/2016,East,Consumer,6/18/2016,First Class,Shipped On Time,New York,Binders,1,1,0.2,1,1,1,0.02,4,48,73,48.48,60
Office Supplies,Troy,United States,Ted Butterfield,6/17/2016,East,Consumer,6/18/2016,First Class,Shipped On Time,New York,Art,1,1,0,1,1,1,0.48,1,2,3,1.68,2
Technology,Los Angeles,United States,Kunst Miller,11/24/2015,West,Consumer,11/30/2015,Standard Class,Shipped On Time,California,Accessories,6,6,0,1,2,2,0.11,2,14,21,13.98,14
Office Supplies,Los Angeles,United States,Kunst Miller,11/24/2015,West,Consumer,11/30/2015,Standard Class,Shipped On Time,California,Binders,6,6,0.2,1,9,9,0.34,6,26,39,25.82,33
Office Supplies,Los Angeles,United States,Kunst Miller,11/24/2015,West,Consumer,11/30/2015,Standard Class,Shipped On Time,California,Paper,6,6,0,1,74,74,0.5,3,147,220,146.73,147
Furniture,Los Angeles,United States,Kunst Miller,11/24/2015,West,Consumer,11/30/2015,Standard Class,Shipped On Time,California,Furnishings,6,6,0,1,35,35,0.44,4,80,119,79.76,80
Furniture,Chicago,United States,Paul Stevenson,4/30/2015,Central,Home Office,5/5/2015,Standard Class,Shipped Early,Illinois,Chairs,5,6,0.3,1,77,77,0.36,5,213,319,213.11,304
Office Supplies,Gilbert,United States,Brendan Sweed,12/5/2014,West,Corporate,12/10/2014,Standard Class,Shipped Early,Arizona,Art,5,6,0.2,1,523,523,0.47,8,1113,1667,1113.02,1391
Technology,Gilbert,United States,Brendan Sweed,12/5/2014,West,Corporate,12/10/2014,Standard Class,Shipped Early,Arizona,Phones,5,6,0.2,1,47,47,0.28,4,168,252,167.97,210
Office Supplies,Springfield,United States,Karen Daniels,6/4/2016,South,Consumer,6/6/2016,First Class,Shipped Late,Virginia,Paper,2,1,0,1,-5,-5,-0.07,2,76,114,75.88,76
Office Supplies,New York City,United States,Henry MacAllister,9/18/2016,East,Consumer,9/23/2016,Standard Class,Shipped Early,New York,Binders,5,6,0.2,1,1,1,0.1,1,5,7,4.62,6
Office Supplies,Jackson,United States,Tracy Blumstein,9/14/2017,Central,Consumer,9/17/2017,Second Class,Shipped On Time,Michigan,Paper,3,3,0,1,7,7,0.38,3,19,29,19.05,19
Furniture,Memphis,United States,Joel Eaton,4/26/2015,South,Consumer,5/2/2015,Standard Class,Shipped On Time,Tennessee,Chairs,6,6,0.2,1,391,391,0.47,8,832,1246,831.94,1040
Furniture,Memphis,United States,Joel Eaton,4/26/2015,South,Consumer,5/2/2015,Standard Class,Shipped On Time,Tennessee,Furnishings,6,6,0.2,1,37,37,0.38,2,97,145,97.04,121
Office Supplies,Memphis,United States,Joel Eaton,4/26/2015,South,Consumer,5/2/2015,Standard Class,Shipped On Time,Tennessee,Storage,6,6,0.2,1,34,34,0.46,1,73,109,72.78,91
Office Supplies,Houston,United States,Ken Brennan,12/9/2017,Central,Corporate,12/11/2017,First Class,Shipped Late,Texas,Binders,2,1,0.8,1,0,0,-0.14,3,1,2,1.25,5
Furniture,Houston,United States,Ken Brennan,12/9/2017,Central,Corporate,12/11/2017,First Class,Shipped Late,Texas,Furnishings,2,1,0.6,1,0,0,0.01,3,10,15,9.71,25
Office Supplies,Houston,United States,Ken Brennan,12/9/2017,Central,Corporate,12/11/2017,First Class,Shipped Late,Texas,Storage,2,1,0.2,1,-7,-7,-0.25,3,27,41,27.24,34
Furniture,Houston,United States,Joel Eaton,11/26/2014,Central,Consumer,12/1/2014,Second Class,Shipped Late,Texas,Furnishings,5,3,0.6,1,-29,-29,-1.55,5,19,29,19.3,48
Office Supplies,Decatur,United States,Stewart Carmichael,6/12/2016,South,Corporate,6/15/2016,First Class,Shipped Late,Alabama,Appliances,3,1,0,1,-125,-125,-0.6,1,208,312,208.16,208
Office Supplies,Decatur,United States,Stewart Carmichael,6/12/2016,South,Corporate,6/15/2016,First Class,Shipped Late,Alabama,Binders,3,1,0,1,2,2,0.1,3,17,25,16.74,17
Office Supplies,San Francisco,United States,Duane Noonan,10/12/2014,West,Consumer,10/16/2014,Standard Class,Shipped Early,California,Art,4,6,0,1,-11,-11,-0.75,5,15,22,14.9,15
Office Supplies,San Francisco,United States,Duane Noonan,10/12/2014,West,Consumer,10/16/2014,Standard Class,Shipped Early,California,Storage,4,6,0,1,6,6,0.27,1,21,32,21.39,21
Office Supplies,Durham,United States,Julie Creighton,9/3/2015,South,Corporate,9/8/2015,Standard Class,Shipped Early,North Carolina,Envelopes,5,6,0.2,1,96,96,0.48,7,201,301,200.98,251
Office Supplies,Chicago,United States,Christopher Schild,11/13/2017,Central,Home Office,11/16/2017,First Class,Shipped Late,Illinois,Storage,3,1,0.2,1,64,64,0.28,3,230,345,230.38,288
Furniture,Columbia,United States,Patrick O'Donnell,5/28/2017,South,Consumer,5/30/2017,Second Class,Shipped Early,South Carolina,Chairs,2,3,0,1,88,88,0.29,2,302,452,301.96,302
Technology,Rochester,United States,Paul Gonzalez,10/26/2017,Central,Consumer,11/2/2017,Standard Class,Shipped Late,Minnesota,Accessories,7,6,0,1,6,6,0.31,1,20,30,19.99,20
Office Supplies,Rochester,United States,Paul Gonzalez,10/26/2017,Central,Consumer,11/2/2017,Standard Class,Shipped Late,Minnesota,Labels,7,6,0,1,-1,-1,-0.21,2,6,9,6.16,6
Office Supplies,Houston,United States,Gary Mitchum,4/5/2016,Central,Home Office,4/10/2016,Second Class,Shipped Late,Texas,Storage,5,3,0.2,1,17,17,0.11,7,158,237,158.37,198
Office Supplies,Los Angeles,United States,Jim Sink,9/17/2016,West,Corporate,9/22/2016,Standard Class,Shipped Early,California,Art,5,6,0,1,7,7,0.34,3,20,30,20.1,20
Technology,Los Angeles,United States,Jim Sink,9/17/2016,West,Corporate,9/22/2016,Standard Class,Shipped Early,California,Phones,5,6,0.2,1,36,36,0.48,2,74,110,73.58,93
Office Supplies,Los Angeles,United States,Jim Sink,9/17/2016,West,Corporate,9/22/2016,Standard Class,Shipped Early,California,Paper,5,6,0,1,1,1,0.09,1,6,10,6.48,6
Office Supplies,Minneapolis,United States,Karl Braun,1/31/2015,Central,Consumer,2/5/2015,Second Class,Shipped Late,Minnesota,Paper,5,3,0,1,4,4,0.33,2,13,19,12.96,13
Furniture,Minneapolis,United States,Karl Braun,1/31/2015,Central,Consumer,2/5/2015,Second Class,Shipped Late,Minnesota,Furnishings,5,3,0,1,6,6,0.11,3,53,80,53.34,53
Office Supplies,Minneapolis,United States,Karl Braun,1/31/2015,Central,Consumer,2/5/2015,Second Class,Shipped Late,Minnesota,Binders,5,3,0,1,16,16,0.48,2,33,49,32.96,33
Office Supplies,Portland,United States,Roger Barcio,11/6/2017,West,Home Office,11/12/2017,Standard Class,Shipped On Time,Oregon,Binders,6,6,0.7,1,3,3,0.48,1,6,9,5.68,20
Furniture,New York City,United States,Parhena Norris,11/9/2017,East,Home Office,11/11/2017,Second Class,Shipped Early,New York,Furnishings,2,3,0,1,30,30,0.31,7,97,145,96.53,97
Office Supplies,San Francisco,United States,Katherine Ducich,6/17/2017,West,Consumer,6/20/2017,First Class,Shipped Late,California,Binders,3,1,0.2,1,25,25,0.49,3,51,77,51.31,64
Office Supplies,Saint Paul,United States,Elpida Rittenbach,9/6/2016,Central,Corporate,9/11/2016,Standard Class,Shipped Early,Minnesota,Appliances,5,6,0,1,-52,-52,-0.67,6,78,117,77.88,78
Office Supplies,Chicago,United States,Rick Bensley,8/29/2016,Central,Home Office,9/2/2016,Standard Class,Shipped Early,Illinois,Paper,4,6,0.2,1,27,27,0.42,7,65,97,64.62,81
Technology,Chicago,United States,Rick Bensley,8/29/2016,Central,Home Office,9/2/2016,Standard Class,Shipped Early,Illinois,Accessories,4,6,0.2,1,34,34,0.35,3,96,144,95.98,120
Office Supplies,Chicago,United States,Rick Bensley,8/29/2016,Central,Home Office,9/2/2016,Standard Class,Shipped Early,Illinois,Binders,4,6,0.8,1,1,1,0.29,3,2,3,1.79,10
Office Supplies,Rochester,United States,Gary Zandusky,12/1/2016,Central,Consumer,12/4/2016,Second Class,Shipped On Time,Minnesota,Paper,3,3,0,1,8,8,0.35,4,24,36,23.92,24
Technology,Aurora,United States,Lena Cacioppo,11/13/2015,West,Consumer,11/17/2015,Standard Class,Shipped Early,Colorado,Accessories,4,6,0.2,1,-26,-26,-0.11,6,239,358,238.9,299
Furniture,Aurora,United States,Lena Cacioppo,11/13/2015,West,Consumer,11/17/2015,Standard Class,Shipped Early,Colorado,Furnishings,4,6,0.2,1,-173,-173,-1.7,3,102,153,102.36,128
Office Supplies,Aurora,United States,Lena Cacioppo,11/13/2015,West,Consumer,11/17/2015,Standard Class,Shipped Early,Colorado,Binders,4,6,0.7,1,18,18,0.49,3,37,55,36.88,123
Technology,Charlotte,United States,Janet Martin,11/23/2017,South,Consumer,11/28/2017,Standard Class,Shipped Early,North Carolina,Accessories,5,6,0.2,1,-8,-8,-0.11,8,74,111,74.11,93
Technology,Charlotte,United States,Janet Martin,11/23/2017,South,Consumer,11/28/2017,Standard Class,Shipped Early,North Carolina,Phones,5,6,0.2,1,-1,-1,-0.04,1,28,42,27.99,35
Office Supplies,Charlotte,United States,Janet Martin,11/23/2017,South,Consumer,11/28/2017,Standard Class,Shipped Early,North Carolina,Art,5,6,0.2,1,-2,-2,-0.7,1,3,5,3.3,4
Technology,Orland Park,United States,Pete Armstrong,10/15/2015,Central,Home Office,10/20/2015,Standard Class,Shipped Early,Illinois,Accessories,5,6,0.2,1,82,82,0.24,5,340,509,339.96,425
Furniture,New York City,United States,Cynthia Voltz,12/25/2017,East,Corporate,12/30/2017,Standard Class,Shipped Early,New York,Furnishings,5,6,0,1,3,3,0.08,2,42,63,41.96,42
Office Supplies,Urbandale,United States,Clay Ludtke,11/3/2016,Central,Consumer,11/10/2016,Standard Class,Shipped Late,Iowa,Art,7,6,0,1,25,25,0.33,2,76,114,75.96,76
Office Supplies,Urbandale,United States,Clay Ludtke,11/3/2016,Central,Consumer,11/10/2016,Standard Class,Shipped Late,Iowa,Binders,7,6,0,1,5,5,0.2,6,27,41,27.24,27
Office Supplies,Columbus,United States,Ryan Crowe,8/25/2014,East,Consumer,8/27/2014,Second Class,Shipped Early,Ohio,Fasteners,2,3,0.2,1,10,10,0.26,14,40,60,40.1,50
Office Supplies,Columbus,United States,Ryan Crowe,8/25/2014,East,Consumer,8/27/2014,Second Class,Shipped Early,Ohio,Envelopes,2,3,0.2,1,2,2,0.3,2,5,7,4.72,6
Office Supplies,Columbus,United States,Ryan Crowe,8/25/2014,East,Consumer,8/27/2014,Second Class,Shipped Early,Ohio,Paper,2,3,0.2,1,12,12,0.49,3,24,36,23.98,30
Office Supplies,Columbus,United States,Ryan Crowe,8/25/2014,East,Consumer,8/27/2014,Second Class,Shipped Early,Ohio,Envelopes,2,3,0.2,1,47,47,0.36,6,130,195,130.46,163
Furniture,Seattle,United States,Dave Kipp,3/2/2015,West,Consumer,3/6/2015,Standard Class,Shipped Early,Washington,Tables,4,6,0.2,1,95,95,0.15,3,630,1179,787.53,788
Office Supplies,Bristol,United States,Greg Guthrie,4/5/2015,South,Corporate,4/10/2015,Standard Class,Shipped Early,Tennessee,Binders,5,6,0.7,1,49,49,0.31,1,158,236,157.79,527
Furniture,Wilmington,United States,Steven Cartwright,6/12/2016,East,Consumer,6/15/2016,First Class,Shipped Late,Delaware,Furnishings,3,1,0,1,16,16,0.34,3,47,70,47.04,47
Office Supplies,Wilmington,United States,Steven Cartwright,6/12/2016,East,Consumer,6/15/2016,First Class,Shipped Late,Delaware,Binders,3,1,0,1,7,7,0.21,4,31,46,30.84,31
Office Supplies,Wilmington,United States,Steven Cartwright,6/12/2016,East,Consumer,6/15/2016,First Class,Shipped Late,Delaware,Storage,3,1,0,1,-166,-166,-0.73,6,227,339,226.56,227
Office Supplies,Wilmington,United States,Steven Cartwright,6/12/2016,East,Consumer,6/15/2016,First Class,Shipped Late,Delaware,Envelopes,3,1,0,1,45,45,0.39,9,115,172,115.02,115
Technology,Wilmington,United States,Steven Cartwright,6/12/2016,East,Consumer,6/15/2016,First Class,Shipped Late,Delaware,Phones,3,1,0,1,31,31,0.45,7,68,102,68.04,68
Furniture,Houston,United States,Alan Dominguez,12/26/2014,Central,Home Office,12/28/2014,Second Class,Shipped Early,Texas,Chairs,2,3,0.3,1,168,168,0.28,3,601,899,600.56,859
Furniture,Bloomington,United States,Philip Fox,9/20/2014,Central,Consumer,9/25/2014,Standard Class,Shipped Early,Illinois,Tables,5,6,0.2,1,742,742,0.75,6,989,925,617.7,1236
Office Supplies,Phoenix,United States,Troy Staebel,11/5/2017,West,Consumer,11/12/2017,Standard Class,Shipped Late,Arizona,Binders,7,6,0.7,1,1,1,0.29,2,2,4,2.39,7
Office Supplies,Phoenix,United States,Troy Staebel,11/5/2017,West,Consumer,11/12/2017,Standard Class,Shipped Late,Arizona,Storage,7,6,0.2,1,-2,-2,-0.01,7,244,365,243.99,305
Furniture,Los Angeles,United States,Lindsay Shagiari,11/6/2016,West,Home Office,11/10/2016,Second Class,Shipped Late,California,Chairs,4,3,0.2,1,-53,-53,-0.66,2,81,122,81.42,101
Furniture,Los Angeles,United States,Lindsay Shagiari,11/6/2016,West,Home Office,11/10/2016,Second Class,Shipped Late,California,Furnishings,4,3,0,1,-184,-184,-0.77,3,239,357,238.56,239
Technology,Columbus,United States,Dorothy Wardle,2/2/2017,East,Corporate,2/5/2017,First Class,Shipped Late,Ohio,Phones,3,1,0.4,1,8,8,0.13,5,60,90,59.97,100
Office Supplies,Columbus,United States,Dorothy Wardle,2/2/2017,East,Corporate,2/5/2017,First Class,Shipped Late,Ohio,Paper,3,1,0.2,1,-9,-9,-0.11,2,78,117,78.3,98
Office Supplies,Columbus,United States,Dorothy Wardle,2/2/2017,East,Corporate,2/5/2017,First Class,Shipped Late,Ohio,Fasteners,3,1,0.2,1,2,2,0.11,9,21,32,21.46,26
Office Supplies,Roseville,United States,Lena Creighton,10/13/2016,West,Consumer,10/19/2016,Standard Class,Shipped On Time,California,Paper,6,6,0,1,-4,-4,-0.2,3,20,30,20.04,20
Office Supplies,Roseville,United States,Lena Creighton,10/13/2016,West,Consumer,10/19/2016,Standard Class,Shipped On Time,California,Paper,6,6,0,1,13,13,0.38,1,35,53,35.44,35
Office Supplies,Roseville,United States,Lena Creighton,10/13/2016,West,Consumer,10/19/2016,Standard Class,Shipped On Time,California,Art,6,6,0,1,4,4,0.33,4,12,17,11.52,12
Office Supplies,Roseville,United States,Lena Creighton,10/13/2016,West,Consumer,10/19/2016,Standard Class,Shipped On Time,California,Fasteners,6,6,0,1,2,2,0.48,2,4,6,4.02,4
Office Supplies,Roseville,United States,Lena Creighton,10/13/2016,West,Consumer,10/19/2016,Standard Class,Shipped On Time,California,Binders,6,6,0.2,1,36,36,0.47,3,76,114,76.18,95
Office Supplies,Roseville,United States,Lena Creighton,10/13/2016,West,Consumer,10/19/2016,Standard Class,Shipped On Time,California,Supplies,6,6,0.05,1,16,16,0.25,6,63,99,65.88,66
Furniture,Roseville,United States,Lena Creighton,10/13/2016,West,Consumer,10/19/2016,Standard Class,Shipped On Time,California,Furnishings,6,6,0,1,21,21,0.49,14,43,65,43.12,43
Furniture,Philadelphia,United States,Jonathan Doherty,9/5/2016,East,Corporate,9/7/2016,Second Class,Shipped Early,Pennsylvania,Furnishings,2,3,0.2,1,29,29,0.35,2,83,124,82.8,104
Office Supplies,San Francisco,United States,Sally Hughsby,9/18/2017,West,Corporate,9/23/2017,Standard Class,Shipped Early,California,Art,5,6,0,1,3,3,0.28,3,9,13,8.82,9
