Category,City,Country,CustomerName,OrderDate,Region,Segment,ShipDate,ShipMode,ShipStatus,State,SubCategory,DaystoShipActual,DaystoShipScheduled,Discount,NumberofRecords,Profit,ProfitperOrder,ProfitRatio,Quantity,Sales,SalesForecast,SalesperCustomer,saleswodic,Discount
Office Supplies,Concord,United States,Andrew Allen,4/15/2017,South,Consumer,4/20/2017,Standard Class,Shipped Early,North Carolina,Paper,5,6,0.25,1,5,5.44,0.3,3,15,23,15.55,20,0.2
Office Supplies,Seattle,United States,Irene Maddox,12/5/2016,West,Consumer,12/10/2016,Standard Class,Shipped Early,Washington,Binders,5,6,0.25,1,107,132.59,0.28,3,382.5,611,407.98,510,0.2
Office Supplies,Fort Worth,United States,Harold Pawlan,11/22/2015,Central,Home Office,11/26/2015,Standard Class,Shipped Early,Texas,Appliances,4,6,0.25,1,-323,-123.86,-1.25,5,258.75,103,68.81,345,0.8
Office Supplies,Fort Worth,United States,Harold Pawlan,11/22/2015,Central,Home Office,11/26/2015,Standard Class,Shipped Early,Texas,Binders,4,6,0.25,1,-11,-3.82,-0.95,3,11.25,4,2.54,15,0.8
Office Supplies,Madison,United States,Pete Kriz,11/11/2014,Central,Consumer,11/18/2014,Standard Class,Shipped Late,Wisconsin,Storage,7,6,0.25,1,-115,13.32,-0.23,6,499.5,997,665.88,666,0
Office Supplies,West Jordan,United States,Alejandro Grove,5/13/2014,West,Consumer,5/15/2014,Second Class,Shipped Early,Utah,Storage,2,3,0.25,1,-3,9.99,-0.07,2,42,83,55.5,56,0
Office Supplies,San Francisco,United States,Zuschuss Donatelli,8/27/2014,West,Consumer,9/1/2014,Second Class,Shipped Late,California,Art,5,3,0.25,1,0,2.48,0.04,2,6.75,13,8.56,9,0
Technology,San Francisco,United States,Zuschuss Donatelli,8/27/2014,West,Consumer,9/1/2014,Second Class,Shipped Late,California,Phones,5,3,0.2,1,17,16.01,0.08,3,213,320,213.48,266,0.2
Office Supplies,San Francisco,United States,Zuschuss Donatelli,8/27/2014,West,Consumer,9/1/2014,Second Class,Shipped Late,California,Binders,5,3,0.25,1,6,7.38,0.28,4,21.5625,34,22.72,29,0.2
Office Supplies,Fremont,United States,Ken Black,12/9/2016,Central,Corporate,12/13/2016,Standard Class,Shipped Early,Nebraska,Art,4,6,0.25,1,0,5.06,0.01,7,14.25,29,19.46,19,0
Office Supplies,Fremont,United States,Ken Black,12/9/2016,Central,Corporate,12/13/2016,Standard Class,Shipped Early,Nebraska,Appliances,4,6,0.25,1,0,15.69,0.01,7,45,90,60.34,60,0
Furniture,Philadelphia,United States,Sandra Flanagan,7/16/2017,East,Consumer,7/18/2017,Second Class,Shipped Early,Pennsylvania,Chairs,2,3,0.18,1,9,-1.02,0.11,2,83.17142857,107,71.37,101,0.3
Furniture,Orem,United States,Emily Burns,9/25/2015,West,Consumer,9/30/2015,Standard Class,Shipped Early,Utah,Tables,5,6,0.18,1,43,240.26,0.05,3,856.9,1564,1044.63,1045,0
Office Supplies,Los Angeles,United States,Eric Hoffmann,1/16/2016,West,Consumer,1/20/2016,Second Class,Shipped Late,California,Binders,4,3,0.25,1,3,4.22,0.31,2,11.25,17,11.65,15,0.2
Technology,Los Angeles,United States,Eric Hoffmann,1/16/2016,West,Consumer,1/20/2016,Second Class,Shipped Late,California,Accessories,4,3,0.2,1,-5,11.77,-0.07,3,72.8,136,90.57,91,0
Furniture,Philadelphia,United States,Tracy Blumstein,9/17/2015,East,Consumer,9/21/2015,Standard Class,Shipped Early,Pennsylvania,Bookcases,4,6,0.18,1,-1112,-1665.05,-0.22,7,5056.12,4618,3083.43,6166,0.5
Office Supplies,Philadelphia,United States,Tracy Blumstein,9/17/2015,East,Consumer,9/21/2015,Standard Class,Shipped Early,Pennsylvania,Binders,4,6,0.25,1,-7,-7.05,-0.28,2,25,14,9.62,33,0.7
Furniture,Philadelphia,United States,Tracy Blumstein,9/17/2015,East,Consumer,9/21/2015,Standard Class,Shipped Early,Pennsylvania,Furnishings,4,6,0.18,1,19,15.52,0.15,3,127.1,186,124.2,155,0.2
Office Supplies,Philadelphia,United States,Tracy Blumstein,9/17/2015,East,Consumer,9/21/2015,Standard Class,Shipped Early,Pennsylvania,Envelopes,4,6,0.25,1,1,1.1,0.29,2,2.8125,5,3.26,4,0.2
Office Supplies,Philadelphia,United States,Tracy Blumstein,9/17/2015,East,Consumer,9/21/2015,Standard Class,Shipped Early,Pennsylvania,Art,4,6,0.25,1,5,9.71,0.06,6,80.625,129,86.3,108,0.2
Office Supplies,Philadelphia,United States,Tracy Blumstein,9/17/2015,East,Consumer,9/21/2015,Standard Class,Shipped Early,Pennsylvania,Binders,4,6,0.25,1,-7,-5.71,-0.38,6,17.5,10,6.86,23,0.7
Office Supplies,Philadelphia,United States,Tracy Blumstein,9/17/2015,East,Consumer,9/21/2015,Standard Class,Shipped Early,Pennsylvania,Art,4,6,0.25,1,3,3.55,0.18,2,15,24,15.76,20,0.2
Office Supplies,Houston,United States,Matt Abelman,10/19/2017,Central,Home Office,10/23/2017,Second Class,Shipped Late,Texas,Paper,4,3,0.25,1,8,9.95,0.29,3,27.1875,44,29.47,36,0.2
Technology,Richardson,United States,Gene Hale,12/8/2016,Central,Corporate,12/10/2016,First Class,Shipped Late,Texas,Phones,2,1,0.2,1,121,123.47,0.11,7,1098,1644,1097.54,1373,0.2
Furniture,Richardson,United States,Gene Hale,12/8/2016,Central,Corporate,12/10/2016,First Class,Shipped Late,Texas,Furnishings,2,1,0.18,1,-141,-147.96,-0.36,5,391.55,286,190.92,478,0.6
Office Supplies,Houston,United States,Steve Nguyen,12/27/2015,Central,Home Office,12/31/2015,Standard Class,Shipped Early,Texas,Envelopes,4,6,0.25,1,28,35.41,0.26,9,105.9375,170,113.33,141,0.2
Furniture,Houston,United States,Steve Nguyen,12/27/2015,Central,Home Office,12/31/2015,Standard Class,Shipped Early,Texas,Bookcases,4,6,0.18,1,32,-46.98,0.05,3,641.5294118,797,532.4,782,0.32
Furniture,Houston,United States,Steve Nguyen,12/27/2015,Central,Home Office,12/31/2015,Standard Class,Shipped Early,Texas,Chairs,4,6,0.18,1,12,-15.15,0.05,3,248.3428571,318,212.06,303,0.3
Technology,Houston,United States,Steve Nguyen,12/27/2015,Central,Home Office,12/31/2015,Standard Class,Shipped Early,Texas,Phones,4,6,0.2,1,41,41.76,0.11,4,371,556,371.17,464,0.2
Technology,Naperville,United States,Linda Cazamias,9/10/2017,Central,Corporate,9/15/2017,Standard Class,Shipped Early,Illinois,Phones,5,6,0.2,1,16,16.56,0.11,4,147,220,147.17,184,0.2
Office Supplies,Los Angeles,United States,Ruben Ausman,7/17/2016,West,Corporate,7/22/2016,Standard Class,Shipped Early,California,Storage,5,6,0.25,1,-12,3.89,-0.2,2,58.5,117,77.88,78,0
Office Supplies,Melbourne,United States,Erin Smith,9/19/2017,South,Corporate,9/23/2017,Standard Class,Shipped Early,Florida,Storage,4,6,0.25,1,5,9.56,0.05,2,90,143,95.62,120,0.2
Technology,Eagan,United States,Odella Nelson,3/11/2016,Central,Corporate,3/13/2016,First Class,Shipped Late,Minnesota,Accessories,2,1,0.2,1,8,19.77,0.23,2,36.8,69,45.98,46,0
Office Supplies,Eagan,United States,Odella Nelson,3/11/2016,Central,Corporate,3/13/2016,First Class,Shipped Late,Minnesota,Binders,2,1,0.25,1,3,8.21,0.22,2,12.75,26,17.46,17,0
Office Supplies,Westland,United States,Patrick O'Donnell,10/20/2014,Central,Consumer,10/25/2014,Second Class,Shipped Late,Michigan,Storage,5,3,0.25,1,-33,8.48,-0.21,4,159,317,211.96,212,0
Technology,Dover,United States,Lena Hernandez,6/20/2016,East,Consumer,6/25/2016,Standard Class,Shipped Early,Delaware,Accessories,5,6,0.2,1,-3,4.95,-0.09,3,36,67,45,45,0
Technology,Dover,United States,Lena Hernandez,6/20/2016,East,Consumer,6/25/2016,Standard Class,Shipped Early,Delaware,Phones,5,6,0.2,1,1,6.1,0.08,2,17.6,33,21.8,22,0
Office Supplies,New Albany,United States,Darren Powers,4/18/2015,Central,Consumer,4/22/2015,Standard Class,Shipped Early,Indiana,Binders,4,6,0.25,1,6,17.96,0.22,6,28.5,57,38.22,38,0
Office Supplies,New Albany,United States,Darren Powers,4/18/2015,Central,Consumer,4/22/2015,Standard Class,Shipped Early,Indiana,Labels,4,6,0.25,1,12,35.33,0.22,6,56.25,113,75.18,75,0
Furniture,New Albany,United States,Darren Powers,4/18/2015,Central,Consumer,4/22/2015,Standard Class,Shipped Early,Indiana,Furnishings,4,6,0.18,1,1,2.96,0.3,2,4.92,9,6.16,6,0
Furniture,New Albany,United States,Darren Powers,4/18/2015,Central,Consumer,4/22/2015,Standard Class,Shipped Early,Indiana,Chairs,4,6,0.18,1,1,17.1,0.01,1,73.8,135,89.99,90,0
Office Supplies,New York City,United States,Janet Molinari,12/11/2016,East,Corporate,12/17/2016,Standard Class,Shipped On Time,New York,Fasteners,6,6,0.25,1,2,6.26,0.16,7,11.25,23,15.26,15,0
Technology,New York City,United States,Janet Molinari,12/11/2016,East,Corporate,12/17/2016,Standard Class,Shipped On Time,New York,Phones,6,6,0.2,1,74,298.69,0.09,5,824,1542,1029.95,1030,0
Office Supplies,Troy,United States,Ted Butterfield,6/17/2016,East,Consumer,6/18/2016,First Class,Shipped On Time,New York,Storage,1,1,0.25,1,0,52.14,0,6,156.75,312,208.56,209,0
Office Supplies,Troy,United States,Ted Butterfield,6/17/2016,East,Consumer,6/18/2016,First Class,Shipped On Time,New York,Paper,1,1,0.25,1,6,15.55,0.23,5,24,49,32.4,32,0
Furniture,Troy,United States,Ted Butterfield,6/17/2016,East,Consumer,6/18/2016,First Class,Shipped On Time,New York,Chairs,1,1,0.18,1,-17,7.1,-0.06,5,290.6444444,478,319.41,354,0.1
Office Supplies,Troy,United States,Ted Butterfield,6/17/2016,East,Consumer,6/18/2016,First Class,Shipped On Time,New York,Paper,1,1,0.25,1,3,6.99,0.23,2,11.25,22,14.56,15,0
Technology,Troy,United States,Ted Butterfield,6/17/2016,East,Consumer,6/18/2016,First Class,Shipped On Time,New York,Accessories,1,1,0.2,1,-2,3.3,-0.09,2,24,45,30,30,0
Office Supplies,Troy,United States,Ted Butterfield,6/17/2016,East,Consumer,6/18/2016,First Class,Shipped On Time,New York,Binders,1,1,0.25,1,13,16.36,0.29,4,45,73,48.48,60,0.2
Office Supplies,Troy,United States,Ted Butterfield,6/17/2016,East,Consumer,6/18/2016,First Class,Shipped On Time,New York,Art,1,1,0.25,1,0,0.84,0.25,1,1.5,3,1.68,2,0
Technology,Los Angeles,United States,Kunst Miller,11/24/2015,West,Consumer,11/30/2015,Standard Class,Shipped On Time,California,Accessories,6,6,0.2,1,3,6.15,0.24,2,11.2,21,13.98,14,0
Office Supplies,Los Angeles,United States,Kunst Miller,11/24/2015,West,Consumer,11/30/2015,Standard Class,Shipped On Time,California,Binders,6,6,0.25,1,8,9.36,0.31,6,24.375,39,25.82,33,0.2
Office Supplies,Los Angeles,United States,Kunst Miller,11/24/2015,West,Consumer,11/30/2015,Standard Class,Shipped On Time,California,Paper,6,6,0.25,1,24,68.96,0.22,3,110.25,220,146.73,147,0
Furniture,Los Angeles,United States,Kunst Miller,11/24/2015,West,Consumer,11/30/2015,Standard Class,Shipped On Time,California,Furnishings,6,6,0.18,1,7,22.33,0.1,4,65.6,119,79.76,80,0
Furniture,Chicago,United States,Paul Stevenson,4/30/2015,Central,Home Office,5/5/2015,Standard Class,Shipped Early,Illinois,Chairs,5,6,0.18,1,12,-15.22,0.05,5,249.5142857,319,213.11,304,0.3
Office Supplies,Gilbert,United States,Brendan Sweed,12/5/2014,West,Corporate,12/10/2014,Standard Class,Shipped Early,Arizona,Art,5,6,0.25,1,52,111.3,0.05,8,1043.4375,1667,1113.02,1391,0.2
Technology,Gilbert,United States,Brendan Sweed,12/5/2014,West,Corporate,12/10/2014,Standard Class,Shipped Early,Arizona,Phones,5,6,0.2,1,64,62.99,0.38,4,168,252,167.97,210,0.2
Office Supplies,Springfield,United States,Karen Daniels,6/4/2016,South,Consumer,6/6/2016,First Class,Shipped Late,Virginia,Paper,2,1,0.25,1,13,35.66,0.22,2,57,114,75.88,76,0
Office Supplies,New York City,United States,Henry MacAllister,9/18/2016,East,Consumer,9/23/2016,Standard Class,Shipped Early,New York,Binders,5,6,0.25,1,2,1.73,0.33,1,4.6875,7,4.62,6,0.2
Office Supplies,Jackson,United States,Tracy Blumstein,9/14/2017,Central,Consumer,9/17/2017,Second Class,Shipped On Time,Michigan,Paper,3,3,0.25,1,3,8.76,0.21,3,14.25,29,19.05,19,0
Furniture,Memphis,United States,Joel Eaton,4/26/2015,South,Consumer,5/2/2015,Standard Class,Shipped On Time,Tennessee,Chairs,6,6,0.18,1,-102,-114.39,-0.12,8,852.8,1246,831.94,1040,0.2
Furniture,Memphis,United States,Joel Eaton,4/26/2015,South,Consumer,5/2/2015,Standard Class,Shipped On Time,Tennessee,Furnishings,6,6,0.18,1,3,1.21,0.03,2,99.425,145,97.04,121,0.2
Office Supplies,Memphis,United States,Joel Eaton,4/26/2015,South,Consumer,5/2/2015,Standard Class,Shipped On Time,Tennessee,Storage,6,6,0.25,1,-21,-18.2,-0.3,1,68.4375,109,72.78,91,0.2
Office Supplies,Houston,United States,Ken Brennan,12/9/2017,Central,Corporate,12/11/2017,First Class,Shipped Late,Texas,Binders,2,1,0.25,1,-4,-1.93,-1,3,3.75,2,1.25,5,0.8
Furniture,Houston,United States,Ken Brennan,12/9/2017,Central,Corporate,12/11/2017,First Class,Shipped Late,Texas,Furnishings,2,1,0.18,1,-4,-5.82,-0.18,3,20.5,15,9.71,25,0.6
Office Supplies,Houston,United States,Ken Brennan,12/9/2017,Central,Corporate,12/11/2017,First Class,Shipped Late,Texas,Storage,2,1,0.25,1,1,2.72,0.05,3,25.3125,41,27.24,34,0.2
Furniture,Houston,United States,Joel Eaton,11/26/2014,Central,Consumer,12/1/2014,Second Class,Shipped Late,Texas,Furnishings,5,3,0.18,1,-13,-14.48,-0.33,5,38.95,29,19.3,48,0.6
Office Supplies,Decatur,United States,Stewart Carmichael,6/12/2016,South,Corporate,6/15/2016,First Class,Shipped Late,Alabama,Appliances,3,1,0.25,1,3,56.2,0.02,1,156,312,208.16,208,0
Office Supplies,Decatur,United States,Stewart Carmichael,6/12/2016,South,Corporate,6/15/2016,First Class,Shipped Late,Alabama,Binders,3,1,0.25,1,3,8.04,0.23,3,12.75,25,16.74,17,0
Office Supplies,San Francisco,United States,Duane Noonan,10/12/2014,West,Consumer,10/16/2014,Standard Class,Shipped Early,California,Art,4,6,0.25,1,0,4.17,0.03,5,11.25,22,14.9,15,0
Office Supplies,San Francisco,United States,Duane Noonan,10/12/2014,West,Consumer,10/16/2014,Standard Class,Shipped Early,California,Storage,4,6,0.25,1,1,6.2,0.04,1,15.75,32,21.39,21,0
Office Supplies,Durham,United States,Julie Creighton,9/3/2015,South,Corporate,9/8/2015,Standard Class,Shipped Early,North Carolina,Envelopes,5,6,0.25,1,49,62.81,0.26,7,188.4375,301,200.98,251,0.2
Office Supplies,Chicago,United States,Christopher Schild,11/13/2017,Central,Home Office,11/16/2017,First Class,Shipped Late,Illinois,Storage,3,1,0.25,1,-56,-48.95,-0.26,3,215.625,345,230.38,288,0.2
Furniture,Columbia,United States,Patrick O'Donnell,5/28/2017,South,Consumer,5/30/2017,Second Class,Shipped Early,South Carolina,Chairs,2,3,0.18,1,-17,33.22,-0.07,2,247.64,452,301.96,302,0
Technology,Rochester,United States,Paul Gonzalez,10/26/2017,Central,Consumer,11/2/2017,Standard Class,Shipped Late,Minnesota,Accessories,7,6,0.2,1,2,6.8,0.14,1,16,30,19.99,20,0
Office Supplies,Rochester,United States,Paul Gonzalez,10/26/2017,Central,Consumer,11/2/2017,Standard Class,Shipped Late,Minnesota,Labels,7,6,0.25,1,1,2.96,0.23,2,4.5,9,6.16,6,0
Office Supplies,Houston,United States,Gary Mitchum,4/5/2016,Central,Home Office,4/10/2016,Second Class,Shipped Late,Texas,Storage,5,3,0.25,1,6,13.86,0.04,7,148.125,237,158.37,198,0.2
Office Supplies,Los Angeles,United States,Jim Sink,9/17/2016,West,Corporate,9/22/2016,Standard Class,Shipped Early,California,Art,5,6,0.25,1,1,6.63,0.08,3,15,30,20.1,20,0
Technology,Los Angeles,United States,Jim Sink,9/17/2016,West,Corporate,9/22/2016,Standard Class,Shipped Early,California,Phones,5,6,0.2,1,8,8.28,0.11,2,74,110,73.58,93,0.2
Office Supplies,Los Angeles,United States,Jim Sink,9/17/2016,West,Corporate,9/22/2016,Standard Class,Shipped Early,California,Paper,5,6,0.25,1,1,3.11,0.23,1,4.5,10,6.48,6,0
Office Supplies,Minneapolis,United States,Karl Braun,1/31/2015,Central,Consumer,2/5/2015,Second Class,Shipped Late,Minnesota,Paper,5,3,0.25,1,2,6.22,0.23,2,9.75,19,12.96,13,0
Furniture,Minneapolis,United States,Karl Braun,1/31/2015,Central,Consumer,2/5/2015,Second Class,Shipped Late,Minnesota,Furnishings,5,3,0.18,1,6,16.54,0.13,3,43.46,80,53.34,53,0
Office Supplies,Minneapolis,United States,Karl Braun,1/31/2015,Central,Consumer,2/5/2015,Second Class,Shipped Late,Minnesota,Binders,5,3,0.25,1,6,16.15,0.24,2,24.75,49,32.96,33,0
Office Supplies,Portland,United States,Roger Barcio,11/6/2017,West,Home Office,11/12/2017,Standard Class,Shipped On Time,Oregon,Binders,6,6,0.25,1,-3,-3.79,-0.22,1,15,9,5.68,20,0.7
Furniture,New York City,United States,Parhena Norris,11/9/2017,East,Home Office,11/11/2017,Second Class,Shipped Early,New York,Furnishings,2,3,0.18,1,19,40.54,0.24,7,79.54,145,96.53,97,0
Office Supplies,San Francisco,United States,Katherine Ducich,6/17/2017,West,Consumer,6/20/2017,First Class,Shipped Late,California,Binders,3,1,0.25,1,14,17.96,0.3,3,47.8125,77,51.31,64,0.2
Office Supplies,Saint Paul,United States,Elpida Rittenbach,9/6/2016,Central,Corporate,9/11/2016,Standard Class,Shipped Early,Minnesota,Appliances,5,6,0.25,1,2,22.59,0.04,6,58.5,117,77.88,78,0
Office Supplies,Chicago,United States,Rick Bensley,8/29/2016,Central,Home Office,9/2/2016,Standard Class,Shipped Early,Illinois,Paper,4,6,0.25,1,18,22.62,0.3,7,60.9375,97,64.62,81,0.2
Technology,Chicago,United States,Rick Bensley,8/29/2016,Central,Home Office,9/2/2016,Standard Class,Shipped Early,Illinois,Accessories,4,6,0.2,1,-11,-10.8,-0.11,3,96,144,95.98,120,0.2
Office Supplies,Chicago,United States,Rick Bensley,8/29/2016,Central,Home Office,9/2/2016,Standard Class,Shipped Early,Illinois,Binders,4,6,0.25,1,-9,-3.04,-1.15,3,7.5,3,1.79,10,0.8
Office Supplies,Rochester,United States,Gary Zandusky,12/1/2016,Central,Consumer,12/4/2016,Second Class,Shipped On Time,Minnesota,Paper,3,3,0.25,1,4,11.72,0.24,4,18,36,23.92,24,0
Technology,Aurora,United States,Lena Cacioppo,11/13/2015,West,Consumer,11/17/2015,Standard Class,Shipped Early,Colorado,Accessories,4,6,0.2,1,-26,-26.88,-0.11,6,239,358,238.9,299,0.2
Furniture,Aurora,United States,Lena Cacioppo,11/13/2015,West,Consumer,11/17/2015,Standard Class,Shipped Early,Colorado,Furnishings,4,6,0.18,1,-2,-3.84,-0.02,3,104.55,153,102.36,128,0.2
Office Supplies,Aurora,United States,Lena Cacioppo,11/13/2015,West,Consumer,11/17/2015,Standard Class,Shipped Early,Colorado,Binders,4,6,0.25,1,-23,-25.82,-0.25,3,92.5,55,36.88,123,0.7
Technology,Charlotte,United States,Janet Martin,11/23/2017,South,Consumer,11/28/2017,Standard Class,Shipped Early,North Carolina,Accessories,5,6,0.2,1,18,17.6,0.24,8,74,111,74.11,93,0.2
Technology,Charlotte,United States,Janet Martin,11/23/2017,South,Consumer,11/28/2017,Standard Class,Shipped Early,North Carolina,Phones,5,6,0.2,1,2,2.1,0.08,1,28,42,27.99,35,0.2
Office Supplies,Charlotte,United States,Janet Martin,11/23/2017,South,Consumer,11/28/2017,Standard Class,Shipped Early,North Carolina,Art,5,6,0.25,1,1,1.07,0.28,1,2.8125,5,3.3,4,0.2
Technology,Orland Park,United States,Pete Armstrong,10/15/2015,Central,Home Office,10/20/2015,Standard Class,Shipped Early,Illinois,Accessories,5,6,0.2,1,68,67.99,0.2,5,340,509,339.96,425,0.2
Furniture,New York City,United States,Cynthia Voltz,12/25/2017,East,Corporate,12/30/2017,Standard Class,Shipped Early,New York,Furnishings,5,6,0.18,1,3,10.91,0.08,2,34.44,63,41.96,42,0
Office Supplies,Urbandale,United States,Clay Ludtke,11/3/2016,Central,Consumer,11/10/2016,Standard Class,Shipped Late,Iowa,Art,7,6,0.25,1,3,22.79,0.05,2,57,114,75.96,76,0
Office Supplies,Urbandale,United States,Clay Ludtke,11/3/2016,Central,Consumer,11/10/2016,Standard Class,Shipped Late,Iowa,Binders,7,6,0.25,1,5,13.35,0.24,6,20.25,41,27.24,27,0
Office Supplies,Columbus,United States,Ryan Crowe,8/25/2014,East,Consumer,8/27/2014,Second Class,Shipped Early,Ohio,Fasteners,2,3,0.25,1,12,14.53,0.31,14,37.5,60,40.1,50,0.2
Office Supplies,Columbus,United States,Ryan Crowe,8/25/2014,East,Consumer,8/27/2014,Second Class,Shipped Early,Ohio,Envelopes,2,3,0.25,1,1,1.65,0.3,2,4.6875,7,4.72,6,0.2
Office Supplies,Columbus,United States,Ryan Crowe,8/25/2014,East,Consumer,8/27/2014,Second Class,Shipped Early,Ohio,Paper,2,3,0.25,1,6,7.49,0.26,3,22.5,36,23.98,30,0.2
Office Supplies,Columbus,United States,Ryan Crowe,8/25/2014,East,Consumer,8/27/2014,Second Class,Shipped Early,Ohio,Envelopes,2,3,0.25,1,35,44.03,0.29,6,121.875,195,130.46,163,0.2
Furniture,Seattle,United States,Dave Kipp,3/2/2015,West,Consumer,3/6/2015,Standard Class,Shipped Early,Washington,Tables,4,6,0.18,1,19,165.38,0.03,3,646.16,1179,787.53,788,0
Office Supplies,Bristol,United States,Greg Guthrie,4/5/2015,South,Corporate,4/10/2015,Standard Class,Shipped Early,Tennessee,Binders,5,6,0.25,1,-111,-115.72,-0.28,1,395,236,157.79,527,0.7
Furniture,Wilmington,United States,Steven Cartwright,6/12/2016,East,Consumer,6/15/2016,First Class,Shipped Late,Delaware,Furnishings,3,1,0.18,1,8,18.35,0.21,3,38.54,70,47.04,47,0
Office Supplies,Wilmington,United States,Steven Cartwright,6/12/2016,East,Consumer,6/15/2016,First Class,Shipped Late,Delaware,Binders,3,1,0.25,1,5,13.88,0.2,4,23.25,46,30.84,31,0
Office Supplies,Wilmington,United States,Steven Cartwright,6/12/2016,East,Consumer,6/15/2016,First Class,Shipped Late,Delaware,Storage,3,1,0.25,1,5,63.44,0.03,6,170.25,339,226.56,227,0
Office Supplies,Wilmington,United States,Steven Cartwright,6/12/2016,East,Consumer,6/15/2016,First Class,Shipped Late,Delaware,Envelopes,3,1,0.25,1,17,51.76,0.2,9,86.25,172,115.02,115,0
Technology,Wilmington,United States,Steven Cartwright,6/12/2016,East,Consumer,6/15/2016,First Class,Shipped Late,Delaware,Phones,3,1,0.2,1,5,19.73,0.09,7,54.4,102,68.04,68,0
Furniture,Houston,United States,Alan Dominguez,12/26/2014,Central,Home Office,12/28/2014,Second Class,Shipped Early,Texas,Chairs,2,3,0.18,1,77,-8.58,0.11,3,704.0285714,899,600.56,859,0.3
Furniture,Bloomington,United States,Philip Fox,9/20/2014,Central,Consumer,9/25/2014,Standard Class,Shipped Early,Illinois,Tables,5,6,0.18,1,-345,-407.68,-0.34,6,1013.52,925,617.7,1236,0.5
Office Supplies,Phoenix,United States,Troy Staebel,11/5/2017,West,Consumer,11/12/2017,Standard Class,Shipped Late,Arizona,Binders,7,6,0.25,1,-2,-1.83,-0.32,2,5,4,2.39,7,0.7
Office Supplies,Phoenix,United States,Troy Staebel,11/5/2017,West,Consumer,11/12/2017,Standard Class,Shipped Late,Arizona,Storage,7,6,0.25,1,18,30.5,0.08,7,228.75,365,243.99,305,0.2
Furniture,Los Angeles,United States,Lindsay Shagiari,11/6/2016,West,Home Office,11/10/2016,Second Class,Shipped Late,California,Chairs,4,3,0.18,1,-7,-9.16,-0.09,2,83.025,122,81.42,101,0.2
Furniture,Los Angeles,United States,Lindsay Shagiari,11/6/2016,West,Home Office,11/10/2016,Second Class,Shipped Late,California,Furnishings,4,3,0.18,1,-14,26.24,-0.07,3,195.98,357,238.56,239,0
Technology,Columbus,United States,Dorothy Wardle,2/2/2017,East,Corporate,2/5/2017,First Class,Shipped Late,Ohio,Phones,3,1,0.2,1,0,-11.99,0,5,80,90,59.97,100,0.4
Office Supplies,Columbus,United States,Dorothy Wardle,2/2/2017,East,Corporate,2/5/2017,First Class,Shipped Late,Ohio,Paper,3,1,0.25,1,24,29.36,0.33,2,73.125,117,78.3,98,0.2
