Category,City,Country,CustomerName,OrderDate,Region,Segment,ShipDate,ShipMode,ShipStatus,State,SubCategory,DaystoShipActual,DaystoShipScheduled,Discount,NumberofRecords,Profit,ProfitperOrder,ProfitRatio,Quantity,Sales,SalesForecast,SalesperCustomer,
OfficeSupplies,Philadelphia,United States,Tracy Blumstein,9/17/2015,East,Consumer,9/21/2015,StandardClass,ShippedEarly,Pennsylvania,Art,4,6,0.2,1,4,3.55,0.23,2,16,24,15.76,20
OfficeSupplies,Houston,United States,Matt Abelman,10/19/2017,Central,HomeOffice,10/23/2017,SecondClass,ShippedLate,Texas,Paper,4,3,0.2,1,10,9.95,0.34,3,29,44,29.47,36
Technology,Richardson,United States,Gene Hale,12/8/2016,Central,Corporate,12/10/2016,FirstClass,ShippedLate,Texas,Phones,2,1,0.2,1,123,123.47,0.11,7,1098,1644,1097.54,1373
Furniture,Richardson,United States,Gene Hale,12/8/2016,Central,Corporate,12/10/2016,FirstClass,ShippedLate,Texas,Furnishings,2,1,0.6,1,-148,-147.96,-0.78,5,191,286,190.92,478
OfficeSupplies,Houston,United States,Steve Nguyen,12/27/2015,Central,HomeOffice,12/31/2015,StandardClass,ShippedEarly,Texas,Envelopes,4,6,0.2,1,35,35.41,0.31,9,113,170,113.33,141
Furniture,Houston,United States,Steve Nguyen,12/27/2015,Central,HomeOffice,12/31/2015,StandardClass,ShippedEarly,Texas,Bookcases,4,6,0.32,1,-47,-46.98,-0.09,3,532,797,532.4,782
Furniture,Houston,United States,Steve Nguyen,12/27/2015,Central,HomeOffice,12/31/2015,StandardClass,ShippedEarly,Texas,Chairs,4,6,0.3,1,-15,-15.15,-0.07,3,212,318,212.06,303
Technology,Houston,United States,Steve Nguyen,12/27/2015,Central,HomeOffice,12/31/2015,StandardClass,ShippedEarly,Texas,Phones,4,6,0.2,1,42,41.76,0.11,4,371,556,371.17,464
Technology,Naperville,United States,Linda Cazamias,9/10/2017,Central,Corporate,9/15/2017,StandardClass,ShippedEarly,Illinois,Phones,5,6,0.2,1,17,16.56,0.11,4,147,220,147.17,184
OfficeSupplies,Los Angeles,United States,Ruben Ausman,7/17/2016,West,Corporate,7/22/2016,StandardClass,ShippedEarly,California,Storage,5,6,0,1,4,3.89,0.05,2,78,117,77.88,78
OfficeSupplies,Melbourne,United States,Erin Smith,9/19/2017,South,Corporate,9/23/2017,StandardClass,ShippedEarly,Florida,Storage,4,6,0.2,1,10,9.56,0.1,2,96,143,95.62,120
Technology,Eagan,United States,Odella Nelson,3/11/2016,Central,Corporate,3/13/2016,FirstClass,ShippedLate,Minnesota,Accessories,2,1,0,1,20,19.77,0.43,2,46,69,45.98,46
OfficeSupplies,Eagan,United States,Odella Nelson,3/11/2016,Central,Corporate,3/13/2016,FirstClass,ShippedLate,Minnesota,Binders,2,1,0,1,8,8.21,0.47,2,17,26,17.46,17
OfficeSupplies,Westland,United States,Patrick O'Donnell,10/20/2014,Central,Consumer,10/25/2014,SecondClass,ShippedLate,Michigan,Storage,5,3,0,1,8,8.48,0.04,4,212,317,211.96,212
Technology,Dover,United States,Lena Hernandez,6/20/2016,East,Consumer,6/25/2016,StandardClass,ShippedEarly,Delaware,Accessories,5,6,0,1,5,4.95,0.11,3,45,67,45,45
Technology,Dover,United States,Lena Hernandez,6/20/2016,East,Consumer,6/25/2016,StandardClass,ShippedEarly,Delaware,Phones,5,6,0,1,6,6.1,0.28,2,22,33,21.8,22
OfficeSupplies,New Albany,United States,Darren Powers,4/18/2015,Central,Consumer,4/22/2015,StandardClass,ShippedEarly,Indiana,Binders,4,6,0,1,18,17.96,0.47,6,38,57,38.22,38
OfficeSupplies,New Albany,United States,Darren Powers,4/18/2015,Central,Consumer,4/22/2015,StandardClass,ShippedEarly,Indiana,Labels,4,6,0,1,35,35.33,0.47,6,75,113,75.18,75
Furniture,New Albany,United States,Darren Powers,4/18/2015,Central,Consumer,4/22/2015,StandardClass,ShippedEarly,Indiana,Furnishings,4,6,0,1,3,2.96,0.48,2,6,9,6.16,6
Furniture,New Albany,United States,Darren Powers,4/18/2015,Central,Consumer,4/22/2015,StandardClass,ShippedEarly,Indiana,Chairs,4,6,0,1,17,17.1,0.19,1,90,135,89.99,90
OfficeSupplies,New York City,United States,Janet Molinari,12/11/2016,East,Corporate,12/17/2016,StandardClass,ShippedOnTime,New York,Fasteners,6,6,0,1,6,6.26,0.41,7,15,23,15.26,15
Technology,New York City,United States,Janet Molinari,12/11/2016,East,Corporate,12/17/2016,StandardClass,ShippedOnTime,New York,Phones,6,6,0,1,299,298.69,0.29,5,1030,1542,1029.95,1030
OfficeSupplies,Troy,United States,Ted Butterfield,6/17/2016,East,Consumer,6/18/2016,FirstClass,ShippedOnTime,New York,Storage,1,1,0,1,52,52.14,0.25,6,209,312,208.56,209
OfficeSupplies,Troy,United States,Ted Butterfield,6/17/2016,East,Consumer,6/18/2016,FirstClass,ShippedOnTime,New York,Paper,1,1,0,1,16,15.55,0.48,5,32,49,32.4,32
Furniture,Troy,United States,Ted Butterfield,6/17/2016,East,Consumer,6/18/2016,FirstClass,ShippedOnTime,New York,Chairs,1,1,0.1,1,7,7.1,0.02,5,319,478,319.41,354
OfficeSupplies,Troy,United States,Ted Butterfield,6/17/2016,East,Consumer,6/18/2016,FirstClass,ShippedOnTime,New York,Paper,1,1,0,1,7,6.99,0.48,2,15,22,14.56,15
Technology,Troy,United States,Ted Butterfield,6/17/2016,East,Consumer,6/18/2016,FirstClass,ShippedOnTime,New York,Accessories,1,1,0,1,3,3.3,0.11,2,30,45,30,30
OfficeSupplies,Troy,United States,Ted Butterfield,6/17/2016,East,Consumer,6/18/2016,FirstClass,ShippedOnTime,New York,Binders,1,1,0.2,1,16,16.36,0.34,4,48,73,48.48,60
OfficeSupplies,Troy,United States,Ted Butterfield,6/17/2016,East,Consumer,6/18/2016,FirstClass,ShippedOnTime,New York,Art,1,1,0,1,1,0.84,0.5,1,2,3,1.68,2
Technology,Los Angeles,United States,Kunst Miller,11/24/2015,West,Consumer,11/30/2015,StandardClass,ShippedOnTime,California,Accessories,6,6,0,1,6,6.15,0.44,2,14,21,13.98,14
OfficeSupplies,Los Angeles,United States,Kunst Miller,11/24/2015,West,Consumer,11/30/2015,StandardClass,ShippedOnTime,California,Binders,6,6,0.2,1,9,9.36,0.36,6,26,39,25.82,33
OfficeSupplies,Los Angeles,United States,Kunst Miller,11/24/2015,West,Consumer,11/30/2015,StandardClass,ShippedOnTime,California,Paper,6,6,0,1,69,68.96,0.47,3,147,220,146.73,147
Furniture,Los Angeles,United States,Kunst Miller,11/24/2015,West,Consumer,11/30/2015,StandardClass,ShippedOnTime,California,Furnishings,6,6,0,1,22,22.33,0.28,4,80,119,79.76,80
Furniture,Chicago,United States,Paul Stevenson,4/30/2015,Central,HomeOffice,5/5/2015,StandardClass,ShippedEarly,Illinois,Chairs,5,6,0.3,1,-15,-15.22,-0.07,5,213,319,213.11,304
OfficeSupplies,Gilbert,United States,Brendan Sweed,12/5/2014,West,Corporate,12/10/2014,StandardClass,ShippedEarly,Arizona,Art,5,6,0.2,1,111,111.3,0.1,8,1113,1667,1113.02,1391
Technology,Gilbert,United States,Brendan Sweed,12/5/2014,West,Corporate,12/10/2014,StandardClass,ShippedEarly,Arizona,Phones,5,6,0.2,1,63,62.99,0.38,4,168,252,167.97,210
OfficeSupplies,Springfield,United States,Karen Daniels,6/4/2016,South,Consumer,6/6/2016,FirstClass,ShippedLate,Virginia,Paper,2,1,0,1,36,35.66,0.47,2,76,114,75.88,76
OfficeSupplies,New York City,United States,Henry MacAllister,9/18/2016,East,Consumer,9/23/2016,StandardClass,ShippedEarly,New York,Binders,5,6,0.2,1,2,1.73,0.38,1,5,7,4.62,6
OfficeSupplies,Jackson,United States,Tracy Blumstein,9/14/2017,Central,Consumer,9/17/2017,SecondClass,ShippedOnTime,Michigan,Paper,3,3,0,1,9,8.76,0.46,3,19,29,19.05,19
Furniture,Memphis,United States,Joel Eaton,4/26/2015,South,Consumer,5/2/2015,StandardClass,ShippedOnTime,Tennessee,Chairs,6,6,0.2,1,-114,-114.39,-0.14,8,832,1246,831.94,1040
Furniture,Memphis,United States,Joel Eaton,4/26/2015,South,Consumer,5/2/2015,StandardClass,ShippedOnTime,Tennessee,Furnishings,6,6,0.2,1,1,1.21,0.01,2,97,145,97.04,121
OfficeSupplies,Memphis,United States,Joel Eaton,4/26/2015,South,Consumer,5/2/2015,StandardClass,ShippedOnTime,Tennessee,Storage,6,6,0.2,1,-18,-18.2,-0.25,1,73,109,72.78,91
OfficeSupplies,Houston,United States,Ken Brennan,12/9/2017,Central,Corporate,12/11/2017,FirstClass,ShippedLate,Texas,Binders,2,1,0.8,1,-2,-1.93,-1.55,3,1,2,1.25,5
Furniture,Houston,United States,Ken Brennan,12/9/2017,Central,Corporate,12/11/2017,FirstClass,ShippedLate,Texas,Furnishings,2,1,0.6,1,-6,-5.82,-0.6,3,10,15,9.71,25
OfficeSupplies,Houston,United States,Ken Brennan,12/9/2017,Central,Corporate,12/11/2017,FirstClass,ShippedLate,Texas,Storage,2,1,0.2,1,3,2.72,0.1,3,27,41,27.24,34
Furniture,Houston,United States,Joel Eaton,11/26/2014,Central,Consumer,12/1/2014,SecondClass,ShippedLate,Texas,Furnishings,5,3,0.6,1,-14,-14.48,-0.75,5,19,29,19.3,48
OfficeSupplies,Decatur,United States,Stewart Carmichael,6/12/2016,South,Corporate,6/15/2016,FirstClass,ShippedLate,Alabama,Appliances,3,1,0,1,56,56.2,0.27,1,208,312,208.16,208
OfficeSupplies,Decatur,United States,Stewart Carmichael,6/12/2016,South,Corporate,6/15/2016,FirstClass,ShippedLate,Alabama,Binders,3,1,0,1,8,8.04,0.48,3,17,25,16.74,17
OfficeSupplies,San Francisco,United States,Duane Noonan,10/12/2014,West,Consumer,10/16/2014,StandardClass,ShippedEarly,California,Art,4,6,0,1,4,4.17,0.28,5,15,22,14.9,15
OfficeSupplies,San Francisco,United States,Duane Noonan,10/12/2014,West,Consumer,10/16/2014,StandardClass,ShippedEarly,California,Storage,4,6,0,1,6,6.2,0.29,1,21,32,21.39,21
OfficeSupplies,Durham,United States,Julie Creighton,9/3/2015,South,Corporate,9/8/2015,StandardClass,ShippedEarly,North Carolina,Envelopes,5,6,0.2,1,63,62.81,0.31,7,201,301,200.98,251
OfficeSupplies,Chicago,United States,Christopher Schild,11/13/2017,Central,HomeOffice,11/16/2017,FirstClass,ShippedLate,Illinois,Storage,3,1,0.2,1,-49,-48.95,-0.21,3,230,345,230.38,288
Furniture,Columbia,United States,Patrick O'Donnell,5/28/2017,South,Consumer,5/30/2017,SecondClass,ShippedEarly,South Carolina,Chairs,2,3,0,1,33,33.22,0.11,2,302,452,301.96,302
Technology,Rochester,United States,Paul Gonzalez,10/26/2017,Central,Consumer,11/2/2017,StandardClass,ShippedLate,Minnesota,Accessories,7,6,0,1,7,6.8,0.34,1,20,30,19.99,20
OfficeSupplies,Rochester,United States,Paul Gonzalez,10/26/2017,Central,Consumer,11/2/2017,StandardClass,ShippedLate,Minnesota,Labels,7,6,0,1,3,2.96,0.48,2,6,9,6.16,6
OfficeSupplies,Houston,United States,Gary Mitchum,4/5/2016,Central,HomeOffice,4/10/2016,SecondClass,ShippedLate,Texas,Storage,5,3,0.2,1,14,13.86,0.09,7,158,237,158.37,198
OfficeSupplies,Los Angeles,United States,Jim Sink,9/17/2016,West,Corporate,9/22/2016,StandardClass,ShippedEarly,California,Art,5,6,0,1,7,6.63,0.33,3,20,30,20.1,20
Technology,Los Angeles,United States,Jim Sink,9/17/2016,West,Corporate,9/22/2016,StandardClass,ShippedEarly,California,Phones,5,6,0.2,1,8,8.28,0.11,2,74,110,73.58,93
OfficeSupplies,Los Angeles,United States,Jim Sink,9/17/2016,West,Corporate,9/22/2016,StandardClass,ShippedEarly,California,Paper,5,6,0,1,3,3.11,0.48,1,6,10,6.48,6
OfficeSupplies,Minneapolis,United States,Karl Braun,1/31/2015,Central,Consumer,2/5/2015,SecondClass,ShippedLate,Minnesota,Paper,5,3,0,1,6,6.22,0.48,2,13,19,12.96,13
Furniture,Minneapolis,United States,Karl Braun,1/31/2015,Central,Consumer,2/5/2015,SecondClass,ShippedLate,Minnesota,Furnishings,5,3,0,1,17,16.54,0.31,3,53,80,53.34,53
OfficeSupplies,Minneapolis,United States,Karl Braun,1/31/2015,Central,Consumer,2/5/2015,SecondClass,ShippedLate,Minnesota,Binders,5,3,0,1,16,16.15,0.49,2,33,49,32.96,33
OfficeSupplies,Portland,United States,Roger Barcio,11/6/2017,West,HomeOffice,11/12/2017,StandardClass,ShippedOnTime,Oregon,Binders,6,6,0.7,1,-4,-3.79,-0.67,1,6,9,5.68,20
Furniture,New York City,United States,Parhena Norris,11/9/2017,East,HomeOffice,11/11/2017,SecondClass,ShippedEarly,New York,Furnishings,2,3,0,1,41,40.54,0.42,7,97,145,96.53,97
OfficeSupplies,San Francisco,United States,Katherine Ducich,6/17/2017,West,Consumer,6/20/2017,FirstClass,ShippedLate,California,Binders,3,1,0.2,1,18,17.96,0.35,3,51,77,51.31,64
OfficeSupplies,Saint Paul,United States,Elpida Rittenbach,9/6/2016,Central,Corporate,9/11/2016,StandardClass,ShippedEarly,Minnesota,Appliances,5,6,0,1,23,22.59,0.29,6,78,117,77.88,78
OfficeSupplies,Chicago,United States,Rick Bensley,8/29/2016,Central,HomeOffice,9/2/2016,StandardClass,ShippedEarly,Illinois,Paper,4,6,0.2,1,23,22.62,0.35,7,65,97,64.62,81
Technology,Chicago,United States,Rick Bensley,8/29/2016,Central,HomeOffice,9/2/2016,StandardClass,ShippedEarly,Illinois,Accessories,4,6,0.2,1,-11,-10.8,-0.11,3,96,144,95.98,120
OfficeSupplies,Chicago,United States,Rick Bensley,8/29/2016,Central,HomeOffice,9/2/2016,StandardClass,ShippedEarly,Illinois,Binders,4,6,0.8,1,-3,-3.04,-1.7,3,2,3,1.79,10
OfficeSupplies,Rochester,United States,Gary Zandusky,12/1/2016,Central,Consumer,12/4/2016,SecondClass,ShippedOnTime,Minnesota,Paper,3,3,0,1,12,11.72,0.49,4,24,36,23.92,24
Technology,Aurora,United States,Lena Cacioppo,11/13/2015,West,Consumer,11/17/2015,StandardClass,ShippedEarly,Colorado,Accessories,4,6,0.2,1,-27,-26.88,-0.11,6,239,358,238.9,299
Furniture,Aurora,United States,Lena Cacioppo,11/13/2015,West,Consumer,11/17/2015,StandardClass,ShippedEarly,Colorado,Furnishings,4,6,0.2,1,-4,-3.84,-0.04,3,102,153,102.36,128
OfficeSupplies,Aurora,United States,Lena Cacioppo,11/13/2015,West,Consumer,11/17/2015,StandardClass,ShippedEarly,Colorado,Binders,4,6,0.7,1,-26,-25.82,-0.7,3,37,55,36.88,123
Technology,Charlotte,United States,Janet Martin,11/23/2017,South,Consumer,11/28/2017,StandardClass,ShippedEarly,North Carolina,Accessories,5,6,0.2,1,18,17.6,0.24,8,74,111,74.11,93
Technology,Charlotte,United States,Janet Martin,11/23/2017,South,Consumer,11/28/2017,StandardClass,ShippedEarly,North Carolina,Phones,5,6,0.2,1,2,2.1,0.08,1,28,42,27.99,35
OfficeSupplies,Charlotte,United States,Janet Martin,11/23/2017,South,Consumer,11/28/2017,StandardClass,ShippedEarly,North Carolina,Art,5,6,0.2,1,1,1.07,0.33,1,3,5,3.3,4
Technology,Orland Park,United States,Pete Armstrong,10/15/2015,Central,HomeOffice,10/20/2015,StandardClass,ShippedEarly,Illinois,Accessories,5,6,0.2,1,68,67.99,0.2,5,340,509,339.96,425
Furniture,New York City,United States,Cynthia Voltz,12/25/2017,East,Corporate,12/30/2017,StandardClass,ShippedEarly,New York,Furnishings,5,6,0,1,11,10.91,0.26,2,42,63,41.96,42
OfficeSupplies,Urbandale,United States,Clay Ludtke,11/3/2016,Central,Consumer,11/10/2016,StandardClass,ShippedLate,Iowa,Art,7,6,0,1,23,22.79,0.3,2,76,114,75.96,76
OfficeSupplies,Urbandale,United States,Clay Ludtke,11/3/2016,Central,Consumer,11/10/2016,StandardClass,ShippedLate,Iowa,Binders,7,6,0,1,13,13.35,0.49,6,27,41,27.24,27
OfficeSupplies,Columbus,United States,Ryan Crowe,8/25/2014,East,Consumer,8/27/2014,SecondClass,ShippedEarly,Ohio,Fasteners,2,3,0.2,1,15,14.53,0.36,14,40,60,40.1,50
OfficeSupplies,Columbus,United States,Ryan Crowe,8/25/2014,East,Consumer,8/27/2014,SecondClass,ShippedEarly,Ohio,Envelopes,2,3,0.2,1,2,1.65,0.35,2,5,7,4.72,6
OfficeSupplies,Columbus,United States,Ryan Crowe,8/25/2014,East,Consumer,8/27/2014,SecondClass,ShippedEarly,Ohio,Paper,2,3,0.2,1,7,7.49,0.31,3,24,36,23.98,30
OfficeSupplies,Columbus,United States,Ryan Crowe,8/25/2014,East,Consumer,8/27/2014,SecondClass,ShippedEarly,Ohio,Envelopes,2,3,0.2,1,44,44.03,0.34,6,130,195,130.46,163
Furniture,Seattle,United States,Dave Kipp,3/2/2015,West,Consumer,3/6/2015,StandardClass,ShippedEarly,Washington,Tables,4,6,0,1,165,165.38,0.21,3,788,1179,787.53,788
OfficeSupplies,Bristol,United States,Greg Guthrie,4/5/2015,South,Corporate,4/10/2015,StandardClass,ShippedEarly,Tennessee,Binders,5,6,0.7,1,-116,-115.72,-0.73,1,158,236,157.79,527
Furniture,Wilmington,United States,Steven Cartwright,6/12/2016,East,Consumer,6/15/2016,FirstClass,ShippedLate,Delaware,Furnishings,3,1,0,1,18,18.35,0.39,3,47,70,47.04,47
OfficeSupplies,Wilmington,United States,Steven Cartwright,6/12/2016,East,Consumer,6/15/2016,FirstClass,ShippedLate,Delaware,Binders,3,1,0,1,14,13.88,0.45,4,31,46,30.84,31
OfficeSupplies,Wilmington,United States,Steven Cartwright,6/12/2016,East,Consumer,6/15/2016,FirstClass,ShippedLate,Delaware,Storage,3,1,0,1,63,63.44,0.28,6,227,339,226.56,227
OfficeSupplies,Wilmington,United States,Steven Cartwright,6/12/2016,East,Consumer,6/15/2016,FirstClass,ShippedLate,Delaware,Envelopes,3,1,0,1,52,51.76,0.45,9,115,172,115.02,115
Technology,Wilmington,United States,Steven Cartwright,6/12/2016,East,Consumer,6/15/2016,FirstClass,ShippedLate,Delaware,Phones,3,1,0,1,20,19.73,0.29,7,68,102,68.04,68
Furniture,Houston,United States,Alan Dominguez,12/26/2014,Central,HomeOffice,12/28/2014,SecondClass,ShippedEarly,Texas,Chairs,2,3,0.3,1,-9,-8.58,-0.01,3,601,899,600.56,859
Furniture,Bloomington,United States,Philip Fox,9/20/2014,Central,Consumer,9/25/2014,StandardClass,ShippedEarly,Illinois,Tables,5,6,0.5,1,-408,-407.68,-0.66,6,618,925,617.7,1236
OfficeSupplies,Phoenix,United States,Troy Staebel,11/5/2017,West,Consumer,11/12/2017,StandardClass,ShippedLate,Arizona,Binders,7,6,0.7,1,-2,-1.83,-0.77,2,2,4,2.39,7
OfficeSupplies,Phoenix,United States,Troy Staebel,11/5/2017,West,Consumer,11/12/2017,StandardClass,ShippedLate,Arizona,Storage,7,6,0.2,1,30,30.5,0.13,7,244,365,243.99,305
Furniture,Los Angeles,United States,Lindsay Shagiari,11/6/2016,West,HomeOffice,11/10/2016,SecondClass,ShippedLate,California,Chairs,4,3,0.2,1,-9,-9.16,-0.11,2,81,122,81.42,101
Furniture,Los Angeles,United States,Lindsay Shagiari,11/6/2016,West,HomeOffice,11/10/2016,SecondClass,ShippedLate,California,Furnishings,4,3,0,1,26,26.24,0.11,3,239,357,238.56,239
Technology,Columbus,United States,Dorothy Wardle,2/2/2017,East,Corporate,2/5/2017,FirstClass,ShippedLate,Ohio,Phones,3,1,0.4,1,-12,-11.99,-0.2,5,60,90,59.97,100
OfficeSupplies,Columbus,United States,Dorothy Wardle,2/2/2017,East,Corporate,2/5/2017,FirstClass,ShippedLate,Ohio,Paper,3,1,0.2,1,29,29.36,0.38,2,78,117,78.3,98
OfficeSupplies,Columbus,United States,Dorothy Wardle,2/2/2017,East,Corporate,2/5/2017,FirstClass,ShippedLate,Ohio,Fasteners,3,1,0.2,1,7,6.97,0.33,9,21,32,21.46,26
OfficeSupplies,Roseville,United States,Lena Creighton,10/13/2016,West,Consumer,10/19/2016,StandardClass,ShippedOnTime,California,Paper,6,6,0,1,10,9.62,0.48,3,20,30,20.04,20
OfficeSupplies,Roseville,United States,Lena Creighton,10/13/2016,West,Consumer,10/19/2016,StandardClass,ShippedOnTime,California,Paper,6,6,0,1,17,16.66,0.47,1,35,53,35.44,35
OfficeSupplies,Roseville,United States,Lena Creighton,10/13/2016,West,Consumer,10/19/2016,StandardClass,ShippedOnTime,California,Art,6,6,0,1,3,3.46,0.3,4,12,17,11.52,12
